task_id,schedule_index,workload_id,unit_id,method_id,replicate_index,task_status,outcome_class,terminal_failure_event_count,terminal_code_counts_json,evaluation_failure_count,scheduled_cfe,charged_cfe,unconsumed_cfe,scheduled_atomic_model_steps,charged_atomic_model_steps,charged_work_exact,event_summary_trailing_fragment_present,event_summary_trailing_fragment_bytes,event_summary_trailing_fragment_sha256,wall_seconds,cpu_seconds,peak_rss_bytes,output_bytes,automatic_retries
r8c-0074-920abfcfd8a71d53,74,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,2,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.178497156997764,5.3937358820000005,84811776,42573,0
r8c-0075-a8a9b6e63feb2c0a,75,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,2,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.231330841997988,5.98317406,86384640,42571,0
r8c-0076-8cf4dd05b2a67b07,76,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,2,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.394915890999982,12.402072944,109379584,42896,0
r8c-0077-0d768cd34f4ebc53,77,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,2,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.427888004000124,13.063470022,109199360,42979,0
r8c-0078-9a756622888f541f,78,E1_STATIC,LIRCMOP2,F22_MG_STATIC,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.326897490998817,10.40084217,98816000,42172,0
r8c-0079-8fe627967f583232,79,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.197181070001534,5.282162538000001,84602880,42571,0
r8c-0080-93369cd636a0c16d,80,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.195898437999858,5.403587818,84811776,42565,0
r8c-0081-86f5ed2b860268b5,81,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.251503260999016,6.067338778,85876736,42571,0
r8c-0082-959bbaed5c703f2a,82,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.393305502999283,12.500645130999999,108412928,42902,0
r8c-0083-4f64e655a395f6a9,83,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,3,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.441451539998525,13.053646449,109768704,42979,0
r8c-0084-7eacc88938493e16,84,E1_STATIC,LIRCMOP2,F22_MG_STATIC,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.31481630000053,10.130985276,98779136,42174,0
r8c-0085-a99db58068fe7068,85,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.185857221000333,5.274781228,84803584,42566,0
r8c-0086-180b7343bdcb9c29,86,E1_STATIC,LIRCMOP2,MATCHED_JDE_STYLE_PARETO,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.184405424999568,5.369872396,85131264,42566,0
r8c-0087-b3661a00682d758c,87,E1_STATIC,LIRCMOP2,MATCHED_SHADE_STYLE_PARETO,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,8.238816917000804,5.936350461,85860352,42572,0
r8c-0088-dd5ffe541d7ee8f3,88,E1_STATIC,LIRCMOP2,JMETALPY_1_7_GDE3_STANDARD_PARETO_DE,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,14.38048079699729,12.340027830999999,108683264,42903,0
r8c-0089-6726325cb38d7535,89,E1_STATIC,LIRCMOP2,JMETALPY_1_7_NSGAII_STATIC_CMOEA,4,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,15.428757715999382,13.312761289,109453312,42980,0
r8c-0090-a851f80bed681057,90,E1_STATIC,LIRCMOP2,F22_MG_STATIC,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,12.301972255001601,10.458621842,98230272,42168,0
r8c-0091-cd810670c344e4ff,91,E1_STATIC,LIRCMOP2,MATCHED_FIXED_DE_PARETO,5,COMPLETE,,0,"{""ACCEPTED"":1}",0,50000,50000,0,50000,50000,True,False,0,,7.173973609998939,5.29600265,85118976,42562,0
